 The parking facility was good,facility
 The appearance of the hotel was average,appearance
 There was no delay in service,service
 The check in and checkout was done on time,checkin
 The room was comfortable to me,room
 The food quality was good,food
 The complimentary breakfast was provided by the hotel,food
 The activity was not arranged at the hotel,activity
 I would suggest this hotel to improve the reception staff's,staff
 I would recommend this hotel for upcoming travellers,general
Overall service was very good,service
The food and drinks were available in the hotel was good,food
 The overall service was very good in the hotel,service
 The room provided by the hotel was neat and clean,room
 All amenities were available in the room,room
 The activities were not available in the hotel,activity
 There was no delay in check in and checkout at the booking office of the hotel,checkin
 The parking place was available in the hotel,facility
 The hotel location was very good,location
Luxurious stay at Astoria Hotel ,general
I have been to Ooty early 2015 to celebrate good performance of my kids in studies,general
 The hotel does not require any endorsement from anybody,general
 It has got everything at its best which one can expect for good time,general
 The staff is courteous and the hotel has got good restaurant; the staff will take care to prepare food to cater to individual preferences,food
Excellent location with nice room and its service,location
It was our second trip to Ooty in the first week of 2015,general
 We stayed in Astoria Residency for 3 nights in family suite room and experienced a home like environment,room
 It's not a big hotel but rooms were designed in such a way that it can meet everybody‰Ûªs expectation,room
 You have different categories of rooms to choose from specific to your need,room
 We were 3 members so decided to book for a family suite room and it was amazing; very spacious and separated as clearly shown on hotel website,room
 Services were very good,service
 You need not to wait a lot for any kind of service whether it is request for dinner; breakfast or warm water,service
 Food was very good,food
 One thing in the room which I missed was the carpet on floor,room
 As in our room floor carpet was not there so you need to wear sleeper all time in the room,room
 I have seen other rooms which were having carpet so I felt it would be nice if there was carpet in the room,room
 Hotel staff were very gentle and polite; always ready to serve you,staff
 In medium budget you can have a nice room with very good service,room
 In our third trip to Ooty I would prefer to stay again in this hotel,general
Simple clean & budget hotel,general
We came to know about this hotel from mouth of word and then we checked the reviews from holiday IQ and finally decided to stay here,general
 This hotel is really good as people say,general
 The hotel rooms are very clean and tidy,room
 Parking space was ok and not too spacious; still not a problem,facility
 We reached here morning at 10 am from Chennai,general
 And got our rooms,room
 Since we didn't book early; we had to wait till our room got ready,room
 But the hotel staff are real good,staff
 Even the hotel goes full all the time; they however managed to give us a room that we wanted,room
 The staff is very quick and prompt,staff
 Food is good here,food
 And we loved our stay at Astoria totally,general
 Its the best budget hotel in Ooty; i guess and its maintained too well,general
 I would definitely recommend,general
Awesome experience with beautiful amenities ,facility
Booked the studio suite from 13Dec to 16Dec,general
 I was totally amazed once I saw the room,room
 It was next to perfect,general
 Others believe that a hotel room must give a feeling like home; but I think a hotel room should give you a feeling of amazement whenever you think about it,room
 And that's what I feel now,general
 Awesome double bed; home theatre system; nice and smooth lights; jacuzzi; shower and lot more also the food and room service was good,room
 Thumbs up for guys at Astoria,general
 Felt the need of room heater(was Chargeable; should have been complimentary at least for Studio suite) but managed once I got under the sheets,room
Excellent room and service;Front desk is helpful,service
I stayed in Astoria residency in sep,general
 The front desk is very helpful,staff
 My check in time was 12 o'clock but I reached there in the morning they managed and gave me the room,checkin
 It was really a very good experience for me,general
 Once I got some problem I called reception the manager himself came and resolved the issue,general
 Excellent room and service,service
 Very good hotel whenever I will go to ooty I will stay in this hotel only,general
